Voter ID,Age,Income,Employment Status,Sex,Marital Status,Education Level,State of Residence,Ethnicity,Region,Political Ideology,Registered Citizen Status,Sexuality,Military Status,Amount of Children,Likelihood to Vote,Income Bracket,Government Trust,Physical Health,Mental Health,Religion,Gun Possession Status
Democrat,65,40000,Student,Male,Married,Master's Degree,Illinois,Black,Midwest,Centrist,Registered,Heterosexual,Non-Veteran,0,Unlikely,High,Distrustful,Poor,Poor,Jewish,Possessor
Democrat,25,175000,Unemployed,Male,Widowed,Doctoral Degree,Rhode Island,Other,Northeast,Progressive,Registered,Heterosexual,Veteran,2,Unlikely,Low,Distrustful,Excellent,Fair,Christian,Non-Possessor
Democrat,64,85000,Unemployed,Male,Divorced,Master's Degree,Wisconsin,Hispanic,Midwest,Socialist,Registered,Heterosexual,Non-Veteran,2,Unlikely,High,Trustful,Excellent,Excellent,Christian,Non-Possessor
Democrat,52,60000,Self-employed,Male,Divorced,Doctoral Degree,New Jersey,Black,Northeast,Progressive,Registered,Heterosexual,Non-Veteran,1,Likely,Middle,Trustful,Excellent,Excellent,Jewish,Possessor
Republican,68,300000,Self-employed,Female,Married,Associate Degree,Nebraska,Other,Unknown,Conservative,Registered,Heterosexual,Non-Veteran,1,Unlikely,High,Trustful,Poor,Excellent,Christian,Non-Possessor
Democrat,25,25000,Unemployed,Female,Divorced,Doctoral Degree,California,Black,West Coast,Liberal,Registered,Heterosexual,Non-Veteran,1,Undecided,High,Neutral,Good,Poor,Jewish,Non-Possessor
Republican,66,325000,Employed,Male,Married,Doctoral Degree,New York,Hispanic,Northeast,Liberal,Registered,Heterosexual,Non-Veteran,1,Likely,Low,Distrustful,Excellent,Excellent,Christian,Non-Possessor
Republican,51,235000,Retired,Male,Divorced,Associate Degree,Minnesota,Black,Midwest,Conservative,Registered,Heterosexual,Non-Veteran,3,Likely,High,Trustful,Poor,Excellent,Jewish,Non-Possessor
Democrat,61,35000,Student,Female,Single,Doctoral Degree,Louisiana,Hispanic,South,Liberal,Registered,Heterosexual,Non-Veteran,5,Undecided,Middle,Trustful,Poor,Good,Christian,Non-Possessor
Democrat,70,215000,Retired,Female,Widowed,Master's Degree,New York,Hispanic,Northeast,Liberal,Registered,Heterosexual,Non-Veteran,1,Undecided,Low,Neutral,Poor,Excellent,Jewish,Possessor
Republican,78,330000,Retired,Male,Married,Master's Degree,Ohio,Black,Midwest,Centrist,Registered,Heterosexual,Veteran,1,Unlikely,Low,Neutral,Excellent,Good,Christian,Non-Possessor
Republican,65,225000,Unemployed,Male,Divorced,Master's Degree,Oklahoma,White,South,Conservative,Registered,Heterosexual,Non-Veteran,5,Undecided,Middle,Neutral,Good,Excellent,Christian,Non-Possessor
Democrat,70,155000,Student,Female,Married,Bachelor's Degree,Hawaii,Other,Unknown,Progressive,Registered,Gay,Veteran,0,Likely,Middle,Distrustful,Fair,Poor,Muslim,Possessor
Republican,51,295000,Employed,Male,Single,Doctoral Degree,Indiana,Black,Midwest,Progressive,Registered,Heterosexual,Non-Veteran,3,Unlikely,Middle,Distrustful,Excellent,Good,Christian,Possessor
Republican,19,220000,Employed,Female,Divorced,High School,New Mexico,Black,Unknown,Libertarian,Registered,Heterosexual,Non-Veteran,0,Undecided,Middle,Neutral,Excellent,Poor,Jewish,Non-Possessor
Democrat,27,345000,Self-employed,Female,Widowed,Associate Degree,Oklahoma,Black,South,Socialist,Registered,Heterosexual,Non-Veteran,5,Unlikely,Middle,Distrustful,Poor,Excellent,Muslim,Possessor
Republican,38,290000,Unemployed,Male,Married,High School,Illinois,Other,Midwest,Liberal,Registered,Heterosexual,Non-Veteran,4,Unlikely,Middle,Distrustful,Fair,Poor,Christian,Non-Possessor
Republican,57,125000,Student,Male,Single,Associate Degree,Wisconsin,White,Midwest,Libertarian,Registered,Heterosexual,Non-Veteran,3,Unlikely,Low,Neutral,Good,Good,Christian,Non-Possessor
Democrat,20,45000,Self-employed,Female,Widowed,High School,California,White,West Coast,Libertarian,Registered,Gay,Veteran,1,Unlikely,Low,Trustful,Poor,Poor,Christian,Non-Possessor
Republican,56,195000,Self-employed,Male,Widowed,Doctoral Degree,Connecticut,Hispanic,Northeast,Conservative,Registered,Heterosexual,Non-Veteran,1,Likely,High,Neutral,Good,Good,Christian,Non-Possessor
Democrat,77,45000,Student,Female,Single,Master's Degree,Pennsylvania,Asian,Northeast,Libertarian,Registered,Heterosexual,Non-Veteran,5,Likely,Low,Neutral,Poor,Excellent,Hindu,Non-Possessor
Republican,78,140000,Self-employed,Male,Single,High School,Maryland,Other,South,Liberal,Registered,Heterosexual,Non-Veteran,0,Likely,Low,Distrustful,Poor,Poor,Christian,Non-Possessor
Democrat,54,15000,Unemployed,Male,Widowed,Associate Degree,Oregon,Asian,West Coast,Progressive,Registered,Heterosexual,Non-Veteran,1,Likely,Middle,Trustful,Good,Poor,Christian,Possessor
Democrat,39,305000,Student,Female,Married,Doctoral Degree,West Virginia,Asian,South,Socialist,Registered,Heterosexual,Non-Veteran,3,Unlikely,High,Distrustful,Poor,Fair,Christian,Possessor
Republican,76,245000,Employed,Female,Divorced,Master's Degree,Alabama,Other,South,Libertarian,Registered,Heterosexual,Non-Veteran,4,Likely,High,Distrustful,Fair,Fair,Christian,Non-Possessor
Democrat,49,185000,Student,Female,Widowed,Master's Degree,Illinois,Hispanic,Midwest,Progressive,Registered,Heterosexual,Non-Veteran,3,Unlikely,Middle,Distrustful,Poor,Good,Christian,Non-Possessor
Democrat,32,20000,Student,Female,Single,Associate Degree,Maine,Other,Northeast,Libertarian,Registered,Heterosexual,Non-Veteran,1,Unlikely,Low,Distrustful,Poor,Excellent,Christian,Possessor
Republican,37,265000,Retired,Male,Single,Master's Degree,California,White,West Coast,Conservative,Registered,Gay,Non-Veteran,1,Unlikely,High,Neutral,Poor,Excellent,Christian,Non-Possessor
Democrat,33,115000,Employed,Female,Widowed,Master's Degree,South Dakota,Asian,Unknown,Centrist,Registered,Heterosexual,Non-Veteran,2,Undecided,High,Distrustful,Fair,Fair,Christian,Non-Possessor
Democrat,41,75000,Employed,Female,Single,Doctoral Degree,Maryland,Other,South,Liberal,Registered,Heterosexual,Non-Veteran,2,Likely,High,Distrustful,Poor,Good,Jewish,Possessor
Democrat,21,285000,Employed,Female,Married,Doctoral Degree,Arizona,Asian,Unknown,Socialist,Registered,Heterosexual,Veteran,1,Likely,High,Distrustful,Fair,Poor,Christian,Non-Possessor
Republican,46,305000,Self-employed,Female,Married,Bachelor's Degree,Alabama,Other,South,Progressive,Registered,Heterosexual,Non-Veteran,3,Undecided,High,Neutral,Good,Poor,Christian,Non-Possessor
Democrat,42,160000,Employed,Female,Divorced,Master's Degree,Indiana,Hispanic,Midwest,Liberal,Registered,Heterosexual,Non-Veteran,1,Likely,Middle,Neutral,Fair,Poor,Christian,Non-Possessor
Democrat,49,150000,Self-employed,Male,Single,Master's Degree,South Dakota,Black,Unknown,Centrist,Registered,Heterosexual,Non-Veteran,2,Unlikely,Low,Neutral,Good,Poor,Christian,Possessor
Republican,79,200000,Retired,Male,Single,Master's Degree,Indiana,Black,Midwest,Conservative,Registered,Heterosexual,Non-Veteran,0,Undecided,Low,Neutral,Good,Good,Christian,Non-Possessor
Republican,63,295000,Retired,Male,Widowed,Bachelor's Degree,Connecticut,White,Northeast,Conservative,Registered,Heterosexual,Veteran,5,Unlikely,Middle,Distrustful,Poor,Poor,Christian,Possessor
Democrat,37,300000,Self-employed,Male,Single,Associate Degree,Idaho,White,Unknown,Liberal,Registered,Gay,Non-Veteran,2,Likely,High,Distrustful,Excellent,Fair,Christian,Non-Possessor
Democrat,19,50000,Employed,Female,Divorced,Associate Degree,Virginia,Black,South,Conservative,Registered,Heterosexual,Non-Veteran,1,Undecided,Middle,Trustful,Good,Fair,Jewish,Non-Possessor
Republican,41,290000,Unemployed,Male,Widowed,High School,Maryland,Hispanic,South,Liberal,Registered,Gay,Non-Veteran,0,Undecided,Low,Distrustful,Poor,Excellent,Christian,Non-Possessor
Republican,51,325000,Self-employed,Female,Divorced,Bachelor's Degree,North Carolina,Asian,South,Libertarian,Registered,Heterosexual,Non-Veteran,2,Undecided,High,Neutral,Good,Excellent,Hindu,Non-Possessor
Democrat,44,145000,Retired,Non-Binary,Single,Master's Degree,Maine,Hispanic,Northeast,Conservative,Registered,Heterosexual,Non-Veteran,1,Unlikely,Low,Trustful,Poor,Good,Christian,Non-Possessor
Republican,19,300000,Self-employed,Female,Widowed,Master's Degree,Alabama,Other,South,Socialist,Registered,Heterosexual,Non-Veteran,5,Likely,Middle,Neutral,Excellent,Good,Christian,Non-Possessor
Republican,31,270000,Self-employed,Male,Divorced,Doctoral Degree,South Carolina,Black,South,Conservative,Registered,Heterosexual,Non-Veteran,3,Likely,Low,Distrustful,Fair,Excellent,Christian,Possessor
Democrat,68,335000,Unemployed,Female,Divorced,Doctoral Degree,Florida,Black,South,Conservative,Registered,Heterosexual,Non-Veteran,3,Likely,Middle,Neutral,Poor,Excellent,Hindu,Non-Possessor
Democrat,43,50000,Retired,Male,Divorced,High School,Wyoming,Other,Unknown,Socialist,Registered,Heterosexual,Non-Veteran,4,Unlikely,Low,Trustful,Fair,Fair,Christian,Non-Possessor
Democrat,19,280000,Student,Male,Widowed,Associate Degree,Oregon,Asian,West Coast,Conservative,Registered,Heterosexual,Non-Veteran,4,Unlikely,Low,Trustful,Good,Poor,Hindu,Non-Possessor
Democrat,51,120000,Employed,Female,Widowed,Associate Degree,California,Hispanic,West Coast,Progressive,Registered,Heterosexual,Non-Veteran,3,Undecided,Low,Neutral,Good,Good,Christian,Possessor
Republican,57,25000,Student,Male,Divorced,Master's Degree,West Virginia,White,South,Centrist,Registered,Gay,Non-Veteran,0,Undecided,High,Trustful,Poor,Good,Christian,Non-Possessor
Democrat,27,130000,Self-employed,Female,Divorced,Doctoral Degree,Arizona,Asian,Unknown,Liberal,Registered,Gay,Non-Veteran,2,Undecided,Low,Distrustful,Excellent,Good,Christian,Non-Possessor
Republican,60,35000,Self-employed,Female,Married,Associate Degree,Louisiana,Asian,South,Progressive,Registered,Heterosexual,Non-Veteran,0,Unlikely,Middle,Distrustful,Excellent,Fair,Christian,Non-Possessor
Republican,39,110000,Retired,Female,Widowed,Doctoral Degree,Nebraska,Asian,Unknown,Conservative,Registered,Heterosexual,Non-Veteran,0,Unlikely,High,Neutral,Excellent,Good,Christian,Non-Possessor
Democrat,20,170000,Employed,Male,Divorced,Doctoral Degree,Nebraska,Hispanic,Unknown,Conservative,Registered,Heterosexual,Non-Veteran,3,Undecided,Middle,Trustful,Excellent,Excellent,Jewish,Non-Possessor
Republican,65,60000,Retired,Male,Single,Doctoral Degree,New York,Other,Northeast,Libertarian,Registered,Heterosexual,Non-Veteran,3,Undecided,Middle,Distrustful,Good,Excellent,Christian,Possessor
Republican,67,110000,Student,Female,Divorced,Doctoral Degree,Washington,Black,West Coast,Conservative,Registered,Heterosexual,Non-Veteran,5,Likely,High,Trustful,Good,Excellent,Christian,Non-Possessor
Democrat,24,185000,Student,Female,Divorced,High School,New York,Black,Northeast,Libertarian,Registered,Heterosexual,Veteran,3,Undecided,High,Neutral,Fair,Fair,Muslim,Non-Possessor
Republican,53,245000,Student,Female,Widowed,Doctoral Degree,West Virginia,Other,South,Libertarian,Registered,Heterosexual,Non-Veteran,4,Undecided,High,Neutral,Fair,Fair,Christian,Non-Possessor
Republican,67,205000,Student,Male,Single,Master's Degree,Kentucky,Hispanic,South,Conservative,Registered,Heterosexual,Non-Veteran,5,Undecided,Middle,Distrustful,Good,Good,Muslim,Non-Possessor
Republican,46,215000,Student,Male,Widowed,Doctoral Degree,Wyoming,Asian,Unknown,Liberal,Registered,Heterosexual,Veteran,5,Likely,High,Neutral,Excellent,Fair,Hindu,Non-Possessor
Republican,57,205000,Retired,Female,Married,Doctoral Degree,Arizona,Other,Unknown,Centrist,Registered,Heterosexual,Veteran,3,Likely,High,Distrustful,Fair,Excellent,Christian,Non-Possessor
Democrat,60,235000,Self-employed,Female,Divorced,Master's Degree,Washington,Hispanic,West Coast,Liberal,Registered,Heterosexual,Non-Veteran,5,Unlikely,Middle,Neutral,Excellent,Fair,Hindu,Possessor
Republican,40,80000,Retired,Male,Widowed,Associate Degree,Colorado,Black,Unknown,Centrist,Registered,Heterosexual,Non-Veteran,4,Unlikely,Middle,Distrustful,Fair,Excellent,Christian,Non-Possessor
